time,x_boom,y_boom,theta1,theta2,xt2,fc1,fc2,fct2
0,2.17543868863701,3.57151986788648,0.785398163397448,0,0,44833.4227909477,71058.4021586375,4000.53968984656
0.001,2.17543890625537,3.57151967880019,0.785398083435376,0,0,34690.2326208346,54215.2981670049,4064.31424758559
0.002,2.17544028363417,3.57151848200966,0.785397577328765,0,0,26477.6469754685,40578.0355462518,4115.94739690629
0.003,2.17544378060024,3.57151544352563,0.78539629239609,0,0,19920.0935101369,29689.0158029619,4157.1681770275
0.004,2.17545016378232,3.57150989721277,0.785393946942345,0,0,14776.9682906665,21148.7024461687,4189.4856471981
0.005,2.17546003468388,3.57150132038733,0.785390319942082,0,0,10838.4737095089,14608.7141783916,4214.21557001532
0.006,2.17547385416192,3.5714893125386,0.785385242043197,0,0,7921.93272798695,9765.70677150638,4232.50384968141
0.007,2.17549196374218,3.57147357680124,0.78537858773354,0,0,5868.52622507943,6355.95615209394,4245.34714584652
0.008,2.17551460415165,3.57145390384807,0.785370268530482,0,0,4540.40611697568,4150.56463627632,4253.61102153673
0.009,2.17554193140508,3.57143015791069,0.785360227069697,0,0,3818.14213954994,2951.22076169193,4258.04593232487
0.01,2.1755740307434,3.57140226466892,0.785348431983674,0,0,3598.46483586784,2586.45076118188,4259.30132121008
0.011,2.17561092868715,3.57137020078001,0.785334873473196,0,0,3792.27142584576,2908.30650081631,4257.93804796563
0.012,2.17565260343754,3.57133398484509,0.785319559486262,0,0,4322.86491666169,3789.44075646101,4254.43935164421
0.013,2.1756989938303,3.5712936696342,0.785302512428958,0,0,5124.40008833293,5120.52610043816,4249.22051946425
0.014,2.17575000702355,3.57124933541191,0.785283766341621,0,0,6140.51290530636,6807.9784844193,4242.63741360142
0.015,2.17580552507955,3.57120108422457,0.785263364481534,0,0,7323.11250341544,8771.9509013494,4234.99398880276
0.016,2.17586541058097,3.57114903502635,0.785241357260348,0,0,8631.31721369121,10944.5663373627,4226.54891772093
0.017,2.175929511406,3.57109331953616,0.785217800490603,0,0,10030.5181444898,13268.3626389661,4217.52142699029
0.018,2.17599766477122,3.57103407873033,0.785192753901199,0,0,11491.5556786917,15694.924965285,4208.09643499365
0.019,2.17606970063849,3.57097145988763,0.785166279886516,0,0,12989.9958751587,18183.6842049808,4198.42907173852
0.02,2.17614544457014,3.57090561411304,0.785138442458137,0,0,14505.4952194968,20700.8621554355,4188.64865201978
0.021,2.17622472010656,3.57083669427595,0.785109306371963,0,0,16021.243463609,23218.5464125061,4178.86216493376
0.022,2.17630735073125,3.57076485330629,0.785078936406814,0,0,17523.475446742,25713.8798357963,4169.15733565348
0.023,2.1763931614802,3.57069024279907,0.7850473967736,0,0,19001.0438170874,28168.3511605035,4159.6053090551
0.024,2.1764819802456,3.57061301188401,0.785014750636733,0,0,20445.0454861192,30567.1748449875,4150.26299919494
0.025,2.17657363881733,3.57053330632249,0.78498105973178,0,0,21848.495460665,32898.7495945969,4141.17514367841
0.026,2.17666797370037,3.57045126779872,0.784946384065364,0,0,23206.0424198141,35154.1862029016,4132.37609756855
0.027,2.17676482674137,3.57036703337633,0.784910781685124,0,0,24513.7210475812,37326.8964218765,4123.89139756885
0.028,2.1768640455932,3.57028073509527,0.784874308509117,0,0,25768.7367026389,39412.2355208679,4115.73912374938
0.029,2.17696548404276,3.57019249968731,0.784837018205438,0,0,26969.2785147072,41407.1920391193,4107.93108299526
0.03,2.17706900222368,3.57010244839117,0.784798962114032,0,0,28114.3574484005,43310.1189866336,4100.47383561014
0.031,2.17717446673309,3.57001069685082,0.784760189203769,0,0,29203.6662762693,45120.5014145281,4093.3695840627
0.032,2.17728175066856,3.56991735508293,0.784720746058774,0,0,30237.4587581687,46838.7558666331,4086.61694069366
0.033,2.17739073359947,3.56982252750108,0.784680676888833,0,0,31216.4456403151,48466.057749551,4080.2115892639
0.034,2.17750130148494,3.56972631298636,0.784640023559414,0,0,32141.7053673456,50004.1931235041,4074.14685350659
0.035,2.17761334654871,3.5696288049952,0.784598825637483,0,0,33014.6076494241,51455.4318294973,4068.41418431511
0.036,2.17772676711997,3.56953009169675,0.784557120449824,0,0,33836.7482467341,52822.419234233,4063.00357583976
0.037,2.1778414674477,3.56943025613321,0.784514943151084,0,0,34609.8935285306,54108.0841977981,4057.90391956081
0.038,2.17795735749502,3.56932937639754,0.784472326799147,0,0,35335.9335374517,55315.5611573056,4053.10330432925
0.039,2.17807435271905,3.56922752582369,0.78442930243584,0,0,36016.8424423784,56448.1244730424,4048.58926941791
0.04,2.1781923738409,3.56912477318546,0.784385899171268,0,0,36654.6453987621,57509.1334088531,4044.34901677999
0.041,2.17831134660967,3.56902118290055,0.784342144270349,0,0,37251.3909550132,58501.9863171712,4040.36958796466
0.042,2.17843120156361,3.56891681523708,0.784298063240384,0,0,37809.1282498578,59430.082775581,4036.63801047317
0.043,2.17855187379129,3.56881172652023,0.784253679918661,0,0,38329.8883382144,60296.7925755758,4033.1414177579
0.044,2.17867330269472,3.56870596933709,0.78420901655931,0,0,38815.6690668554,61105.4306031126,4029.86714654014
0.045,2.17879543175643,3.56859959273822,0.784164093918749,0,0,39268.4229928879,61859.236769681,4026.80281467019
0.046,2.17891820831174,3.56849264243469,0.784118931339204,0,0,39690.0479031187,62561.3602605208,4023.93638234301
0.047,2.17904158332739,3.56838516098963,0.784073546829896,0,0,40082.3795486633,63214.8474600396,4021.2561991266
0.048,2.1791655111875,3.56827718800355,0.78402795714559,0,0,40447.1862588144,63822.6329968853,4018.75103894596
0.049,2.17928994948722,3.56816876029286,0.783982177862255,0,0,40786.1651426214,64387.5334248562,4016.41012488361
0.05,2.17941485883484,3.56805991206128,0.783936223449694,0,0,41100.9396241442,64912.2431180791,4014.22314541954
0.051,2.17954020266234,3.5679506750638,0.783890107341024,0,0,41393.0580927062,65399.3320175556,4012.18026350846
0.052,2.17966594704485,3.56784107876308,0.783843841998944,0,0,41663.9934774248,65851.2449125622,4010.2721197146
0.053,2.17979206052873,3.56773115047823,0.783797438978788,0,0,41915.1435828712,66270.301986134,4008.48983044829
0.054,2.17991851396856,3.56762091552613,0.783750908988358,0,0,42147.8320444637,66658.7003899617,4006.82498221011
0.055,2.18004528037269,3.5675103973551,0.783704261944594,0,0,42363.309782879,67018.5166483363,4005.26962261614
0.056,2.18017233475732,3.56739961767139,0.783657507027122,0,0,42562.756853416,67351.7097184108,4003.81624887177
0.057,2.18029965400882,3.56728859655843,0.783610652728789,0,0,42747.284602398,67660.1245608378,4002.45779425799
0.058,2.18042721675404,3.56717735258919,0.783563706903241,0,0,42917.938055088,67945.49609541,4001.18761311509
0.059,2.18055500323844,3.56706590293186,0.783516676809675,0,0,43075.6984715411,68209.4534361475,3999.99946473192
0.06,2.18068299521159,3.56695426344905,0.78346956915486,0,0,43221.4860170189,68453.5243172123,3998.88749648394
0.061,2.18081117581979,3.56684244879085,0.783422390132545,0,0,43356.1625015677,68679.1396342616,3997.84622651178
0.062,2.18093952950554,3.56673047248201,0.783375145460362,0,0,43480.5341518803,68887.6380399898,3996.87052617762
0.063,2.18106804191347,3.56661834700346,0.783327840414365,0,0,43595.3543840697,69080.2705417532,3995.95560250152
0.064,2.18119669980247,3.5665060838686,0.783280479861294,0,0,43701.326552327,69258.2050596942,3995.09698073869
0.065,2.18132549096359,3.56639369369438,0.783233068288703,0,0,43799.1066527581,69422.5309109661,3994.29048723154
0.066,2.18145440414351,3.56628118626774,0.783185609833064,0,0,43889.3059660762,69574.2631929221,3993.53223264168
0.067,2.18158342897324,3.56616857060745,0.78313810830595,0,0,43972.493626514,69714.3470442637,3992.81859564372
0.068,2.18171255590173,3.5660558550217,0.783090567218416,0,0,44049.1991065172,69843.6617667842,3992.14620714844
0.069,2.18184177613405,3.56594304716174,0.783042989803683,0,0,44119.9146105841,69963.024796663,3991.51193509846
0.07,2.18197108157402,3.56583015407164,0.782995379038228,0,0,44185.0973726115,70073.1955159145,3990.9128698733
0.071,2.18210046477083,3.56571718223464,0.78294773766137,0,0,44245.171853634,70174.8788987993,3990.34631032417
0.072,2.18222991886953,3.56560413761611,0.782900068193462,0,0,44300.5318380141,70268.7289899389,3989.80975045168
0.073,2.18235943756511,3.56549102570341,0.782852372952758,0,0,44351.542427489,70355.3522131254,3989.30086673063
0.074,2.18248901505986,3.56537785154291,0.782804654071064,0,0,44398.5419336585,70435.3105117697,3988.81750607861
0.075,2.18261864602395,3.56526461977418,0.78275691350823,0,0,44441.8436700096,70509.1243227834,3988.35767446201
0.076,2.18274832555885,3.56515133466183,0.782709153065581,0,0,44481.7376454567,70577.2753871577,3987.91952612694
0.077,2.18287804916351,3.5650380001248,0.782661374398342,0,0,44518.4921621605,70640.2094018065,3987.50135343784
0.078,2.18300781270305,3.56492461976359,0.78261357902714,0,0,44552.3553202406,70698.338516995,3987.10157730747
0.079,2.18313761237982,3.56481119688538,0.782565768348634,0,0,44583.5564325676,70752.0436846264,3986.71873819805
0.08,2.18326744470668,3.5646977345273,0.782517943645343,0,0,44612.3073535533,70801.6768638743,3986.35148766886
0.081,2.18339730648221,3.56458423547786,0.782470106094733,0,0,44638.8037249643,70847.5630891706,3985.9985804512
0.082,2.18352719476798,3.56447070229679,0.782422256777592,0,0,44663.2261428178,70890.0024072723,3985.65886702493
0.083,2.18365710686742,3.56435713733339,0.782374396685783,0,0,44685.7412490734,70929.2716895601,3985.33128667319
0.084,2.18378704030639,3.56424354274335,0.782326526729379,0,0,44706.5027518054,70965.626325675,3985.01486099172
0.085,2.18391699281528,3.5641299205044,0.782278647743253,0,0,44725.6523774924,70999.3018045213,3984.70868782991
0.086,2.18404696231245,3.56401627243064,0.782230760493158,0,0,44743.3207594281,71030.5151892725,3984.41193563812
0.087,2.184176946889,3.56390260018582,0.782182865681324,0,0,44759.6282653522,71059.4664915169,3984.12383820142
0.088,2.18430694479473,3.5637889052955,0.782134963951621,0,0,44774.6857680765,71086.3399508044,3983.84368973609
0.089,2.18443695442521,3.56367518915836,0.782087055894308,0,0,44788.5953626209,71111.3052254204,3983.57084032616
0.09,2.18456697430986,3.56356145305649,0.782039142050414,0,0,44801.4510324885,71134.5184987485,3983.3046916837
0.091,2.184697003101,3.56344769816498,0.781991222915768,0,0,44813.3392689476,71156.1235076349,3983.04469320785
0.092,2.18482703956378,3.56333392556066,0.781943298944706,0,0,44824.3396457706,71176.252496822,3982.79033832743
0.093,2.18495708256683,3.56322013623018,0.781895370553484,0,0,44834.5253524704,71195.0271044887,3982.5411611074
0.094,2.18508713107382,3.56310633107744,0.781847438123415,0,0,44843.9636888102,71212.5591835099,3982.2967331019
0.095,2.18521718413553,3.56299251093045,0.781799502003756,0,0,44852.7165227594,71228.9515620317,3982.05666043969
0.096,2.18534724088268,3.56287867654756,0.781751562514362,0,0,44860.8407147744,71244.2987481444,3981.820581124
