time,x_boom,y_boom,angle_boom,theta1,theta2,xt2,theta1_dot,theta2_dot,xt2_dot,fc1,fc2,fct2
0,2.86881573603111,2.20217971813513,6.49774324886029e-15,0.785398163397448,-0.785398163397448,0,785.398163397448,-785.398163397448,0,57043.3651982383,42127.7133518995,2.36122232877278e-12
0.001,2.86881580935696,2.20217993044619,1.48500991019089e-07,0.785398083435376,-0.785397934934384,0,-7.99620726184003e-05,0.000228463063876916,0,61590.108484704,46515.7262464303,228.643118101087
0.002,2.86881627345949,2.20218127423335,1.08841323942987e-06,0.785397577328765,-0.785396488915525,0,-0.000506106610714596,0.00144601885881457,0,65271.4559929512,50068.5799640807,413.76915675568
0.003,2.86881745174065,2.20218468591554,3.47471658965104e-06,0.78539629239609,-0.7853928176795,0,-0.00128493267527574,0.0036712360255251,0,68210.9519437243,52905.5159233515,561.587812747795
0.004,2.86881960248408,2.20219091342664,7.83055858374802e-06,0.785393946942345,-0.785386116383762,0,-0.00234545374428308,0.00670129573848044,0,70516.4684590881,55130.642390492,677.518803717524
0.005,2.86882292829904,2.20220054360473,1.45664144717423e-05,0.785390319942082,-0.78537575352761,0,-0.00362700026312268,0.010362856151346,0,72282.0666678766,56834.7354435221,766.287303193185
0.006,2.86882758435469,2.20221402607495,2.39967944013515e-05,0.785385242043197,-0.785361245248796,0,-0.00507789888479238,0.0145082788141053,0,73589.6465240541,58096.8340511736,832.007911192062
0.007,2.86883368555158,2.20223169404565,3.63547911071384e-05,0.78537858773354,-0.785342232942433,0,-0.00665430965750602,0.0190123063632655,0,74510.4084097964,58985.652182711,878.258608357917
0.008,2.86884131275929,2.20225378238938,5.18047278216939e-05,0.785370268530482,-0.78531846380266,0,-0.00831920305779477,0.0237691397722983,0,75106.1471917806,59560.8283578309,908.145936020844
0.009,2.86885051823385,2.20228044333729,7.04531362343392e-05,0.785360227069697,-0.785289773933462,0,-0.0100414607851462,0.0286898691980468,0,75430.397226443,59874.0308112595,924.362473272754
0.01,2.86886133031476,2.20231176007754,9.23582678079934e-05,0.785348431983674,-0.785256073715866,0,-0.0117950860226301,0.0337002175964471,0,75529.4448496374,59969.9344541378,929.237538497521
0.011,2.86887375748986,2.20234775851448,0.000117538318172052,0.785334873473196,-0.785217335155024,0,-0.0135585104784468,0.0387385608421482,0,75443.2231200978,59887.0840373544,924.781921655515
0.012,2.86888779190565,2.20238841741555,0.000145978523398824,0.785319559486262,-0.785173580962863,0,-0.0153139869339611,0.0437541921608045,0,75206.1019995632,59658.6563384734,912.727350764294
0.013,2.86890341239161,2.20243367714617,0.000177637268398884,0.785302512428958,-0.785124875160559,0,-0.0170470573041257,0.0487058023044256,0,74847.5857267203,59313.1327812857,894.561308265209
0.014,2.86892058705904,2.20248344716947,0.000212451331185596,0.785283766341621,-0.785071315010435,0,-0.0187460873372629,0.0535601501238716,0,74392.9278642586,58874.8926381593,871.557737653756
0.015,2.86893927552765,2.20253761246676,0.000250340372165558,0.785263364481534,-0.785013024109368,0,-0.0204018600865083,0.0582909010666981,0,73863.6733538374,58364.7358431861,844.804115743987
0.016,2.86895943082702,2.20259603901616,0.000291210764655934,0.785241357260348,-0.784950146495692,0,-0.0220072211858451,0.0628776136760507,0,73278.135889743,57800.3434442799,815.225309643764
0.017,2.86898100101438,2.2026585784505,0.000334958851353007,0.785217800490603,-0.784882841639249,0,-0.02355676974571,0.0673048564426608,0,72651.8180050136,57196.682830206,783.604588508639
0.018,2.86900393054521,2.20272507200101,0.000381473701325657,0.785192753901199,-0.784811280199873,0,-0.0250465894034733,0.0715614393761825,0,71997.7804471445,56566.3640755085,750.602117278868
0.019,2.8690281614289,2.20279535382045,0.000430639433103708,0.785166279886516,-0.784735640453412,0,-0.0264740146833446,0.0756397464614338,0,71326.9666884982,55919.9530378502,716.771222099686
0.02,2.86905363419771,2.20286925376818,0.00048233716148169,0.785138442458137,-0.784656105296655,0,-0.0278374283790299,0.0795351567568332,0,70648.4877656236,55266.2462127273,682.572684069867
0.021,2.86908028871408,2.20294659972927,0.000536446618614265,0.785109306371963,-0.784572859753348,0,-0.0291360861740486,0.0832455433067025,0,69969.8720600669,54612.5117891831,648.387288881293
0.022,2.86910806483793,2.20302721953125,0.000592847493769437,0.785078936406814,-0.784486088913044,0,-0.0303699651486795,0.0867708403039842,0,69297.2841151776,53964.7008505201,614.526834194577
0.023,2.86913690297339,2.20311094251391,0.000651420530603135,0.7850473967736,-0.784395976242996,0,-0.0315396332143791,0.0901126700479153,0,68635.7161219699,53327.6322193594,581.243773837698
0.024,2.86916674451165,2.20319760080096,0.00071204841597376,0.785014750636733,-0.784302702220759,0,-0.0326461368669015,0.0932740222374377,0,67989.1552961151,52705.1540506393,548.739657751121
0.025,2.86919753218474,2.20328703031588,0.000774616490036892,0.78498105973178,-0.784206443241743,0,-0.0336909049526639,0.096258979015829,0,67360.7300026918,52100.2849242708,517.172508698061
0.026,2.86922921034305,2.20337907157932,0.000839013303587434,0.784946384065364,-0.784107370761777,0,-0.034675666415751,0.0990724799663667,0,66752.8371589121,51515.336875315,486.663260890524
0.027,2.8692617251679,2.20347357032027,0.000905131045288729,0.784910781685124,-0.784005650639835,0,-0.0356023802403342,0.101720121941639,0,66167.2531573321,50952.0225222488,457.301371514112
