time,boom_x,boom_y,boom_z,boom_angle,boom_x_velocity,boom_y_velocity,boom_z_velocity,boom_x_acceleration,boom_y_acceleration,boom_z_acceleration,theta1,theta2,xt2,theta1dot,theta2dot,xt2dot,fc1,fc2,fct2
0.1,2.72585045233,2.95363096864445,-0.00923030493411155,0.480760393217615,0.0803509931077352,-0.111543170795549,7.37647058331055e-18,0.00293174220825154,-0.0130469091842951,-3.99884310694625e-15,0.648215292905575,-0.16745489968796,0,-0.03777119704705,-0.000840436550419099,0,51345.4147529051,66407.6524877921,2614.54652477886
0.2,2.73388543217927,2.94243169356506,-0.00923030493411212,0.476888984873642,0.0803158292567623,-0.112398868181449,1.50692005138841e-17,-0.0007956956206705,-0.00800058099870071,-5.63119064377773e-15,0.644427765211382,-0.167538780337741,0,-0.0379619061872063,-0.000836866772601752,0,51443.1509644617,66610.1580557512,2594.56060698081
0.3,2.74191288450781,2.93115181704294,-0.00923030493411259,0.473000714881342,0.0802317171585921,-0.113198557174914,1.85304137835004e-17,-0.000885680228281949,-0.00799431426056607,-3.49601148576447e-15,0.640622979253093,-0.167622264371751,0,-0.038131943467647,-0.000832853675120759,0,51503.1232081254,66764.2204901196,2574.96885768787
0.4,2.74993147683656,2.91979200235778,-0.00923030493411169,0.469095893649678,0.0801386299027869,-0.113997622520793,8.45419830044079e-18,-0.000975463648917874,-0.0079877415571179,-3.87041068476225e-15,0.636801240641437,-0.167705346991759,0,-0.0383009699646664,-0.000828838544777,0,51562.8353717486,66917.9585080689,2555.25469176384
0.5,2.75794031134031,2.90835231527765,-0.00923030493411174,0.465174622528701,0.0800365587559608,-0.114795992235284,9.92948160595794e-18,-0.00106536341597874,-0.00798039756707425,-4.47395256301515e-15,0.632962650527119,-0.167788027998419,0,-0.038468982913173,-0.000824821429603162,0,51622.2868372661,67071.3573036478,2535.41837976386
0.6,2.76593848906637,2.89683282923278,-0.00923030493411079,0.461237003296007,0.0799254926285865,-0.11559358886956,1.05656065467855e-17,-0.00115536859005338,-0.00797227588097371,-6.27700491475326e-15,0.629107310489737,-0.16787030719373,0,-0.0386359778672158,-0.000820802339148941,0,51681.4736871195,67224.3976978028,2515.46025162485
0.7,2.77392511000797,2.88523362543008,-0.00923030493411115,0.457283138171477,0.0798054215309217,-0.116390334342016,4.53647125288143e-18,-0.00124546813048365,-0.00796337023008853,-3.9740951970293e-15,0.625235322552132,-0.167952184380655,0,-0.0388019504075601,-0.000816781283106138,0,51740.3921035204,67377.060509566,2495.38064981249
0.8,2.78189927321484,2.87355479291565,-0.00923030493411169,0.45331312981458,0.0796763365834528,-0.117186149953157,1.12468224833226e-17,-0.00133565087797649,-0.00795367451802242,-3.46142266138649e-15,0.621346789177697,-0.168033659363116,0,-0.0389668961421421,-0.000812758271081293,0,51799.0383686775,67529.3265581873,2475.17992939328
0.9,2.78986007690463,2.86179642863577,-0.00923030493411208,0.449327081321658,0.0795382300269609,-0.117980956400416,1.30507445349073e-17,-0.00142590558304612,-0.00794318278319039,-3.73727395551641e-15,0.61744181326766,-0.168114731946002,0,-0.0391308107060695,-0.000808733312680943,0,51857.4088655015,67681.1766659229,2454.85845809808
1,2.79780661857556,2.84995863749657,-0.00923030493411199,0.445325096223203,0.0793910952323912,-0.11877467379318,1.01179680061379e-17,-0.00151622088634706,-0.00793188923380583,-5.74028786896394e-15,0.613520498158366,-0.168195401935163,0,-0.0392936897617346,-0.000804706417568468,0,51915.5000777882,67832.5916601716,2434.41661638945
1.1,2.80573799511981,2.83804153242194,-0.00923030493411231,0.441307278481124,0.079234926710652,-0.1195672216682,1.30893670950543e-17,-0.00160658535465164,-0.00791978819852091,-2.99392461137058e-15,0.609582947618538,-0.168275669137414,0,-0.0394555289990421,-0.000800677595378829,0,51973.3085909857,67983.5523764067,2413.85479751859
1.2,2.81365330293806,2.82604523441014,-0.00923030493411119,0.437273732485999,0.0790697201221347,-0.120358519005101,1.23749036212953e-17,-0.00169698742992974,-0.00790687420777303,-5.45962947061031e-15,0.605629265846534,-0.168355533360536,0,-0.0396163241348404,-0.000796646855718564,0,52030.8310920232,68134.0396599103,2393.17340759241
1.3,2.82155163805491,2.81396987258862,-0.00923030493411169,0.433224563054316,0.078895472285956,-0.121148484241979,1.39470350263457e-17,-0.00178741549123362,-0.00789314190643431,-5.3354567498387e-15,0.601659557467588,-0.168434994413272,0,-0.0397760709145132,-0.000792614208336317,0,52088.064370337,68284.0343690971,2372.37286562088
1.4,2.82943209623518,2.80181558426745,-0.00923030493411051,0.42915987542571,0.0787121811893487,-0.121937035291743,1.68880065999092e-17,-0.00187785780083782,-0.00787858614005721,-5.04995246112017e-15,0.597673927531043,-0.168514052105333,0,-0.0399347651106154,-0.000788579662810207,0,52145.0053176464,68433.5173772347,2351.45360357934
1.5,2.8372937731012,2.78958251499101,-0.00923030493411267,0.425079775260171,0.0785198459963938,-0.122724089557973,-3.584052614119e-19,-0.00196830254790292,-0.00786320189376966,-1.05808963261812e-15,0.593672481507567,-0.168592706247395,0,-0.0400924025234417,-0.000784543228860457,0,52201.6509287705,68582.4695755495,2330.41606645321
1.6,2.84513576425089,2.77727081858807,-0.00923030493411081,0.420984368635267,0.0783184670569459,-0.12350956395161,9.81256056195827e-18,-0.00205873784384281,-0.00784698430402031,-5.23234366687954e-15,0.589655325286368,-0.168670956651101,0,-0.0402489789817082,-0.000780504916093605,0,52257.9983019179,68730.8718756704,2309.26071228711
1.7,2.85295716537684,2.76488065722027,-0.00923030493411125,0.416873762043327,0.0781080459151124,-0.124293374907493,4.30977866280001e-18,-0.00214915168755114,-0.00782992871879884,-3.58299232787762e-15,0.585622565172387,-0.16874880312906,0,-0.0404044903418708,-0.000776464734201454,0,52314.0446386338,68878.7052116445,2287.98801223607
1.8,2.8607570723861,2.75241220142887,-0.00923030493411098,0.41274806238864,0.0778885853176616,-0.125075438401327,-9.26518927140326e-19,-0.00223953201228078,-0.00781203063010594,-4.25234450995376e-15,0.581574307883488,-0.168826245494848,0,-0.0405589324888069,-0.000772422692904229,0,52369.7872446331,69025.9505431409,2266.59845060108
1.9,2.86853458152084,2.73986563017979,-0.00923030493411144,0.408607376984622,0.0776600892220331,-0.125855669966577,1.3778770148225e-17,-0.0023298666857281,-0.00779328567774051,-5.26817255613668e-15,0.577510660547632,-0.16890328356301,0,-0.0407123013352475,-0.000768378801808467,0,52425.2235301217,69172.5888580053,2245.0925248692
2,2.87628878947989,2.72724113090701,-0.00923030493411108,0.404451813550983,0.0774225628043848,-0.126633984711977,1.96602525239042e-17,-0.00242014346165842,-0.00777368973350967,-6.74153830029629e-15,0.573431730700043,-0.16897991714906,0,-0.0408645928230271,-0.000764333070662815,0,52480.3510095616,69318.6011741047,2223.47074575825
2.1,2.8840187935409,2.71453889955413,-0.00923030493411173,0.400281480210884,0.0771760124671794,-0.127410297338872,2.01110161855365e-18,-0.00251035005054501,-0.00775323879285317,-4.23800539408703e-15,0.569337626280361,-0.169056146069477,0,-0.0410158029218337,-0.00076028550907381,0,52535.1673027581,69463.9685429331,2201.73363723995
2.2,2.89172369168344,2.70175914061427,-0.00923030493411145,0.396096485488074,0.0769204458466551,-0.128184522158935,1.52588892572829e-17,-0.00260047408638364,-0.00773192903346143,-4.28754175567966e-15,0.565228455629787,-0.169131970141713,0,-0.0411659276303453,-0.000756236126818521,0,52589.6701347862,69608.672051708,2179.88173657646
2.3,2.89940258271266,2.6889020671681,-0.00923030493411135,0.391896938304032,0.0766558718200857,-0.128956573112129,1.27084537249375e-17,-0.00269050310299113,-0.00770975686165976,-4.10895914127326e-15,0.561104327488218,-0.169207389184187,0,-0.0413149629757754,-0.000752184933588751,0,52643.8573360036,69752.6928255992,2157.91559435253
2.4,2.9070545663838,2.67596790092014,-0.00923030493411156,0.387682947975076,0.076382300512671,-0.129726363784647,1.5436373805548e-17,-0.00278042459741634,-0.00768671881299987,-5.30926483935078e-15,0.556965350991364,-0.169282403016289,0,-0.0414629050142139,-0.00074813193904788,0,52697.7268430508,69896.0120312796,2135.83577449059
2.5,2.91467874352729,2.66295687223322,-0.00923030493411181,0.383454624209486,0.0760997433043099,-0.130493807427237,1.16421458199753e-17,-0.00287022599493003,-0.00766281161535431,-3.96781862207297e-15,0.552811635667865,-0.169357011458379,0,-0.0416097498309682,-0.00074407715285929,0,52751.2766987315,70038.6108790175,2113.6428542789
2.6,2.92227421617455,2.64986922016109,-0.00923030493411108,0.379212077104601,0.0758082128360611,-0.13125881697362,1.40487382734597e-17,-0.0029598946363163,-0.00763803221762771,-4.29671282488648e-15,0.54864329143639,-0.169431214331788,0,-0.0417554935397675,-0.000740020584828471,0,52804.5050521339,70180.4706250953,2091.33742439291
2.7,2.92984008768445,2.63670519247922,-0.00923030493411214,0.374955417143908,0.0755077230164189,-0.132021305059189,7.5203122569708e-18,-0.00304941782699553,-0.00761237771271617,-5.86252862159396e-15,0.544460428602728,-0.169505011458819,0,-0.0419001322838994,-0.000735962244647226,0,52857.4101594569,70321.5725751856,2068.92008890331
2.8,2.93737546287029,2.62346504571367,-0.0092303049341109,0.370684755194126,0.0751982890271743,-0.132781184039626,1.988854777752e-17,-0.00313878280956281,-0.00758584538899854,-4.85663713256131e-15,0.540263157856872,-0.169578402662746,0,-0.042043662235983,-0.000731902142007357,0,52909.9903839596,70461.8980865761,2046.3914652939
2.9,2.9448794481275,2.61014904516811,-0.00923030493411068,0.366400202502272,0.0748799273291866,-0.133538366009968,1.87117073478788e-17,-0.00322797675536535,-0.00755843275251422,-5.94712532930648e-15,0.536051590270086,-0.169651387767814,0,-0.0421860795979683,-0.000727840286600667,0,52962.2441961133,70601.4285706756,2023.75218447308
3,2.95235115156173,2.59675746494897,-0.00923030493411133,0.362101870692726,0.0745526556678038,-0.134292762823708,1.0661416511988e-17,-0.00331698679461434,-0.00753013748109232,-3.14721570718863e-15,0.531825837291968,-0.169723966599242,0,-0.0423273806006819,-0.000723776688261069,0,53014.1701742012,70740.1454961302,2001.00289077571
3.1,2.95978968311764,2.58329058798858,-0.00923030493411168,0.357789871764281,0.0742164930780729,-0.135044286112151,6.92023593416364e-18,-0.00340580000979696,-0.00750095744100676,-3.698531561153e-15,0.527586010747502,-0.169796138983221,0,-0.042467561505191,-0.000719711356595099,0,53065.767004494,70878.0303913851,1978.14424196812
3.2,2.96719415470807,2.56974870606646,-0.00923030493411058,0.353464318087177,0.0738714598894909,-0.1357928473036,1.56260520297118e-17,-0.00349440342556928,-0.00747089071233908,-5.24302834241492e-15,0.523332222834093,-0.169867904746916,0,-0.0426066186018943,-0.000715644301436669,0,53117.0334813679,71015.0648471821,1955.17690925055
3.3,2.97456368034374,2.55613211982864,-0.00923030493411132,0.349125322400141,0.0735175777307658,-0.1365383576432,1.16191390544362e-17,-0.00358278403319057,-0.00743993555087918,-4.54639115070566e-15,0.519064586118607,-0.169939263718466,0,-0.0427445482108624,-0.000711575532477582,0,53167.968507837,71151.2305196196,1932.10157725051
3.4,2.98189737626335,2.54244113880494,-0.00923030493411176,0.3447729978074,0.0731548695340563,-0.13728072821251,1.55226223917652e-17,-0.00367092877765662,-0.00740809041897528,-3.76921150528789e-15,0.514783213534383,-0.170010215726983,0,-0.0428813466821794,-0.000707505059466484,0,53218.5710956327,71286.509132614,1908.91894401916
3.5,2.9891943610642,2.52867608142441,-0.00923030493411073,0.340407457775696,0.072783359539002,-0.138019869949339,1.4688999842716e-17,-0.00375882456244181,-0.00737535398254074,-5.0312606068112e-15,0.510488218378251,-0.170080760602554,0,-0.0430170103958858,-0.000703432892123601,0,53268.8403654959,71420.8824806567,1885.62972102192
3.6,2.99645375583305,2.51483727502865,-0.00923030493411139,0.336028816131287,0.0724030732965313,-0.138755693667846,8.79847120341159e-18,-0.00384645825623586,-0.00734172510562381,-2.90957634825557e-15,0.50617971430753,-0.170150898176243,0,-0.0431515357617513,-0.000699359040254421,0,53318.7755474864,71554.3324316011,1862.23463312519
3.7,3.00367468427749,2.50092505588321,-0.00923030493411149,0.331637187056939,0.0720140376722744,-0.139488110078585,1.3593400029705e-17,-0.00393381668946224,-0.00730720286462017,-4.04544065333316e-15,0.501857815337024,-0.170220628280086,0,-0.0432849192199001,-0.000695283513607592,0,53368.3759811651,71686.840929282,1838.73441858157
